precinct,borough,neighborhoods,crimeCount,monthToDate,yearToDate,crimeBreakdown,weightedCrimeVal,safetyScore
76,Brooklyn,"Park Slope, Carroll Gardens",49,137,20,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 4, ""Burglary"": 0, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 1}",51,0.9129353233830846
77,Brooklyn,Crown Heights North,83,289,30,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 12, ""Burglary"": 0, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 0}",111,0.763681592039801
78,Brooklyn,"Park Slope, Carroll Gardens",59,275,29,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 1, ""Burglary"": 2, ""Grand Larceny"": 7, ""Grand Larceny Auto"": 0}",45,0.927860696517413
79,Brooklyn,Bedford Stuyvesant,95,412,34,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 8, ""Felony Assault"": 3, ""Burglary"": 3, ""Grand Larceny"": 7, ""Grand Larceny Auto"": 1}",129,0.7189054726368159
81,Brooklyn,Bedford Stuyvesant,51,233,23,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 4, ""Burglary"": 1, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 2}",58,0.8955223880597015
83,Brooklyn,Bushwick,115,442,64,"{""Murder"": 0, ""Rape"": 2, ""Robbery"": 6, ""Felony Assault"": 10, ""Burglary"": 2, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 3}",223,0.4850746268656716
84,Brooklyn,"Brooklyn Heights, Fort Greene",70,421,44,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 4, ""Burglary"": 3, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 0}",92,0.8109452736318408
88,Brooklyn,"Brooklyn Heights, Fort Greene",39,229,15,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 2, ""Felony Assault"": 4, ""Burglary"": 0, ""Grand Larceny"": 1, ""Grand Larceny Auto"": 0}",78,0.845771144278607
90,Brooklyn,"Williamsburg, Greenpoint",147,537,72,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 5, ""Burglary"": 6, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 3}",113,0.7587064676616915
94,Brooklyn,"Williamsburg, Greenpoint",71,232,41,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 1, ""Felony Assault"": 7, ""Burglary"": 2, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 2}",113,0.7587064676616915
100,Queens,"The Rockaways, Broad Channel",29,113,14,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 2, ""Burglary"": 2, ""Grand Larceny"": 1, ""Grand Larceny Auto"": 0}",37,0.9477611940298507
